song_title,song_time,song_url
烟波蓝－给少女与梦,['02:05'],https://music.163.com/song?id=517632209
小尘埃,['03:02'],https://music.163.com/song?id=209414
太阳,['03:30'],https://music.163.com/song?id=28457922
游月,['02:42'],https://music.163.com/song?id=29783059
海王星,['03:19'],https://music.163.com/song?id=407444039
Ki厝之歌,['04:13'],https://music.163.com/song?id=517636593
九份的咖啡店,['04:52'],https://music.163.com/song?id=209268
透明雨衣(Demo),['04:28'],https://music.163.com/song?id=29273530
没关系,['03:07'],https://music.163.com/song?id=208229
Perfect,['03:59'],https://music.163.com/song?id=370637
收信快乐,['04:14'],https://music.163.com/song?id=297971
小星星的对话,['03:37'],https://music.163.com/song?id=297892
原来我们都是爱着的,['05:02'],https://music.163.com/song?id=297882
在动物园散步才是正经事,['02:16'],https://music.163.com/song?id=365856
如果你对我说「来吧」的话-(IfYouSayComeOnToMe),['02:13'],https://music.163.com/song?id=1298780920
河,['04:32'],https://music.163.com/song?id=370635
落单,['01:26'],https://music.163.com/song?id=209018
七分满,['05:08'],https://music.163.com/song?id=466089629
白日旧梦,['03:12'],https://music.163.com/song?id=29805400
我想变成我,['04:37'],https://music.163.com/song?id=34964803
温柔的神经病,['02:49'],https://music.163.com/song?id=435996491
杯子里的冰咖啡,['02:22'],https://music.163.com/song?id=30394942
我想带你去美丽的春天（IslandRemix）,['04:08'],https://music.163.com/song?id=461042495
我的世界(WoDeShiJie),['05:05'],https://music.163.com/song?id=26303571
小歌,['02:37'],https://music.163.com/song?id=34376204
关于她,['02:43'],https://music.163.com/song?id=232755
不说再见,['04:31'],https://music.163.com/song?id=233912
紧张地散步,['02:40'],https://music.163.com/song?id=29783751
海边的卡夫卡,['03:16'],https://music.163.com/song?id=29805402
SundayMorning,['03:30'],https://music.163.com/song?id=353340
IWillLoveYouWell,['02:06'],https://music.163.com/song?id=29729059
TwoWeeksHoliday,['04:22'],https://music.163.com/song?id=209007
空集,['02:12'],https://music.163.com/song?id=434923011
嗨噢嗨,['03:03'],https://music.163.com/song?id=30394943
Track3,['00:44'],https://music.163.com/song?id=227677
屋顶花园,['02:41'],https://music.163.com/song?id=5249461
AllHappy,['03:20'],https://music.163.com/song?id=227673
好好过生活,['03:37'],https://music.163.com/song?id=34964801
我们一起睡觉,['04:23'],https://music.163.com/song?id=28497676
骑单车去海边找你,['03:40'],https://music.163.com/song?id=29805927
一切开始都是美好的,['01:32'],https://music.163.com/song?id=26608617
我一天一个时间只等一件事,['02:57'],https://music.163.com/song?id=416385902
送你,['03:54'],https://music.163.com/song?id=462431312
小事情,['04:02'],https://music.163.com/song?id=5249462
Thanks,['01:04'],https://music.163.com/song?id=359293
分分钟需要你-(原唱:林子祥),['04:12'],https://music.163.com/song?id=413142581
Anotheryesterday,['03:33'],https://music.163.com/song?id=296249
Nuclearangel(Hiddentrack),['02:48'],https://music.163.com/song?id=296273
之间,['03:10'],https://music.163.com/song?id=490944351
天空,['05:06'],https://music.163.com/song?id=405253704
轻微,['03:39'],https://music.163.com/song?id=289016
想想,['03:17'],https://music.163.com/song?id=29774143
礼物,['03:30'],https://music.163.com/song?id=469249731
布偶,['02:43'],https://music.163.com/song?id=29408652
海芋季,['05:35'],https://music.163.com/song?id=27580819
一个人,['04:41'],https://music.163.com/song?id=205341
中文歌,['02:44'],https://music.163.com/song?id=4334747
越过高山,['03:46'],https://music.163.com/song?id=4334725
每天要喝八千杯水,['02:53'],https://music.163.com/song?id=4334602
我喜爱一切不彻底的事物,['03:53'],https://music.163.com/song?id=31967587
一只特立独行的猴(BonusTrack),['03:29'],https://music.163.com/song?id=418257690
Won'tBackDown(BoehmRemix),['04:41'],https://music.163.com/song?id=32046367
TakeMeToInfinity,['03:27'],https://music.163.com/song?id=431855270
Try,['03:51'],https://music.163.com/song?id=39443742
WildOne,['03:02'],https://music.163.com/song?id=467953113
LockedAway,['04:20'],https://music.163.com/song?id=406072193
