song_title,song_time,song_url
Sleepless,['04:28'],https://music.163.com/song?id=417247931
Daydream,['03:16'],https://music.163.com/song?id=28054763
BulletTrain,['04:05'],https://music.163.com/song?id=29713712
MoshiMoshi,['04:17'],https://music.163.com/song?id=553753866
LifeLikeAMovie,['05:00'],https://music.163.com/song?id=28362755
Changes(OriginalMix),['07:29'],https://music.163.com/song?id=437859744
FindAWay(OriginalMix),['07:24'],https://music.163.com/song?id=31851326
InTheAir(OriginalMix)-remix,['09:27'],https://music.163.com/song?id=27643428
SilverLining(OriginalMix),['07:12'],https://music.163.com/song?id=28105993
12Stars(OriginalMix),['07:41'],https://music.163.com/song?id=28739462
IsItLove(JustinCarusoRemix),['02:52'],https://music.163.com/song?id=413740209
ColoursofLife(OriginalMix),['07:38'],https://music.163.com/song?id=439911367
Amsterdam(Super8&TabRemix),['08:13'],https://music.163.com/song?id=29844781
BeautifulFool(OriginalMix),['07:13'],https://music.163.com/song?id=405612388
TheOnlyPlace(OriginalMix),['07:04'],https://music.163.com/song?id=413740199
TogetherWeAreStrong(OriginalMix),['07:07'],https://music.163.com/song?id=28618544
Illuminate(GlobalInfluenceRemix),['07:28'],https://music.163.com/song?id=28184184
MyReflection(MixCut),['04:43'],https://music.163.com/song?id=473873010
Shivers(AlexM.O.R.P.H.RedLightDub),['03:59'],https://music.163.com/song?id=478686923
RightHere(OriginalMix),['06:39'],https://music.163.com/song?id=442869305
Unity(ExtendedMix),['04:55'],https://music.163.com/song?id=461544959
ShowMeTheStars(OriginalMix),['06:32'],https://music.163.com/song?id=35470503
LostCivilization(OriginalMix)-remix,['08:17'],https://music.163.com/song?id=26602480
Valiant(OriginalMix),['08:06'],https://music.163.com/song?id=39940099
SailingAirwaves(InMemoryofMattTrigle)(OriginalMix),['06:57'],https://music.163.com/song?id=28494058
Extraterrestrials(ExtendedMix),['08:17'],https://music.163.com/song?id=406347003
I'llBeWaiting(ExtendedMix),['07:05'],https://music.163.com/song?id=409872496
SouthernSun(PaulThomasRadioEdit),['03:52'],https://music.163.com/song?id=27962935
IBelieve(ExtendedMix),['05:00'],https://music.163.com/song?id=427419211
ImaginaryFriends,['07:46'],https://music.163.com/song?id=444058919
BassCake(WeekendHeroesRemix),['07:11'],https://music.163.com/song?id=548251382
Drone(OriginalMix),['05:14'],https://music.163.com/song?id=29016470
MemoryOfMe(AlbumMix),['05:21'],https://music.163.com/song?id=28773353
Liberation(OriginalMix),['12:21'],https://music.163.com/song?id=862102842
KeepYourSecretsinMidnightCity(FREEDOWNLOAD),['04:19'],https://music.163.com/song?id=26259144
HangingOn(SoundRemedyRemix),['04:44'],https://music.163.com/song?id=27760001
CosmicLove(SevenLionsRemix),['04:35'],https://music.163.com/song?id=32944785
CraveYou(AdventureClubRemix),['03:56'],https://music.163.com/song?id=29811146
Lullabies(AdventureClubRemix),['04:12'],https://music.163.com/song?id=28535186
YouGotToGo(SevenLionsRemix),['05:03'],https://music.163.com/song?id=16505618
飞云之下,['04:26'],https://music.163.com/song?id=554242032
美好事物,['03:18'],https://music.163.com/song?id=417596830
你曾是少年,['04:26'],https://music.163.com/song?id=426027293
漫步人生路,['03:43'],https://music.163.com/song?id=229285
我这样的年纪,['06:13'],https://music.163.com/song?id=547996731
现在你是怎样的人?,['05:32'],https://music.163.com/song?id=37993790
重返十七岁(新版)-(《我去上学啦》第二季主题曲),['04:05'],https://music.163.com/song?id=418603445
世界上最美的花,['04:27'],https://music.163.com/song?id=35806002
那些花儿-(电影《那时花开》片尾曲),['04:54'],https://music.163.com/song?id=139377
逆流时光,['04:03'],https://music.163.com/song?id=30394202
笨小孩(Live)-live,['04:05'],https://music.163.com/song?id=110758
年少时代,['04:24'],https://music.163.com/song?id=34613622
淡出少年,['05:13'],https://music.163.com/song?id=434659455
让他去飞,['03:25'],https://music.163.com/song?id=520037788
有形的翅膀,['03:36'],https://music.163.com/song?id=25640409
淋雨一直走,['03:24'],https://music.163.com/song?id=25640392
骄傲的少年-(动画《那年那兔那些事儿》第二季片尾曲),['04:22'],https://music.163.com/song?id=408332757
这一路走来,['04:17'],https://music.163.com/song?id=26075553
新的我旧的我,['04:49'],https://music.163.com/song?id=27836091
漂向北方(Liveat13thKKBOXMusicAwards),['04:25'],https://music.163.com/song?id=528321355
失真岁月,['04:06'],https://music.163.com/song?id=490662152
青春纪,['03:58'],https://music.163.com/song?id=557579330
青年路,['03:20'],https://music.163.com/song?id=537161375
致自己,['04:34'],https://music.163.com/song?id=35476048
前方,['03:46'],https://music.163.com/song?id=29805698
走马,['03:55'],https://music.163.com/song?id=30431367
信,['05:07'],https://music.163.com/song?id=212844
少年,['04:13'],https://music.163.com/song?id=85497
倔强,['04:21'],https://music.163.com/song?id=386175
成长,['05:41'],https://music.163.com/song?id=34578095
人间(Original版),['04:40'],https://music.163.com/song?id=390750
上头歌,['06:01'],https://music.163.com/song?id=538227228
歌未央-(最台湾旅游微电影主题曲),['04:01'],https://music.163.com/song?id=27556443
8090的歌-(情感故事节目《8090》主题曲),['03:41'],https://music.163.com/song?id=191164
我的世界,['04:39'],https://music.163.com/song?id=28949906
推开世界的门,['04:42'],https://music.163.com/song?id=441120217
四星球的冒险,['04:44'],https://music.163.com/song?id=425710010
就算世界无童话,['04:22'],https://music.163.com/song?id=26902928
夜空中最亮的星,['04:12'],https://music.163.com/song?id=25706282
陪你度过漫长岁月-(电影《陪安东尼度过漫长岁月》主题曲),['04:02'],https://music.163.com/song?id=35403523
继续-给十五岁的自己,['03:48'],https://music.163.com/song?id=29572989
当我找到了你-(电影《28岁未成年》推广曲),['03:54'],https://music.163.com/song?id=440464198
其实我还好,['04:10'],https://music.163.com/song?id=25694250
一万次悲伤,['04:15'],https://music.163.com/song?id=25706279
你不是真正的快乐,['05:20'],https://music.163.com/song?id=28341146
我曾有过我也都懂-(2016BAZAAR明星慈善夜主题曲),['04:29'],https://music.163.com/song?id=429210835
这场名叫人生的旅途,['06:03'],https://music.163.com/song?id=410042507
原谅这世界没那么好,['04:35'],https://music.163.com/song?id=436514287
那一年的他,['03:01'],https://music.163.com/song?id=542562999
一夜成长(原味版),['03:40'],https://music.163.com/song?id=409647122
逝年,['03:16'],https://music.163.com/song?id=32957955
清白之年-(原唱：朴树),['04:31'],https://music.163.com/song?id=487590187
平凡之路-(电影《后会无期》主题曲),['05:02'],https://music.163.com/song?id=28815250
认真地老去,['03:43'],https://music.163.com/song?id=461080452
简单的快乐,['05:00'],https://music.163.com/song?id=25713127
曾经的你,['04:21'],https://music.163.com/song?id=167975
别原谅我,['03:38'],https://music.163.com/song?id=27836081
差不多先生,['04:26'],https://music.163.com/song?id=135050
杀死差不多先生,['04:04'],https://music.163.com/song?id=460225644
我们在改变,['04:05'],https://music.163.com/song?id=25638919
新的心跳-(真人秀《极速前进》主题曲),['03:36'],https://music.163.com/song?id=33190007
理想三旬(Live),['03:07'],https://music.163.com/song?id=512359558
历历万乡,['03:32'],https://music.163.com/song?id=30431375
第一页,['04:06'],https://music.163.com/song?id=421808003
无限大-(InfinitePossibilities),['04:14'],https://music.163.com/song?id=28283345
山丘(Live),['06:02'],https://music.163.com/song?id=407002091
生,['03:11'],https://music.163.com/song?id=417596672
新生,['03:16'],https://music.163.com/song?id=475678795
热勇,['04:49'],https://music.163.com/song?id=423015580
那一年,['04:08'],https://music.163.com/song?id=168153
去爱吧-(GoGoLove),['04:07'],https://music.163.com/song?id=472141148
一双手,['03:31'],https://music.163.com/song?id=36569474
不再犹豫,['04:15'],https://music.163.com/song?id=347597
奉爱之名,['04:07'],https://music.163.com/song?id=521187320
生如夏花,['04:59'],https://music.163.com/song?id=29999244
花花世界,['03:54'],https://music.163.com/song?id=533524977
长大以后的事,['01:34'],https://music.163.com/song?id=415090200
HappyorNot,['05:54'],https://music.163.com/song?id=233776
幸你从未放弃,['04:59'],https://music.163.com/song?id=432511091
致，孤勇如你,['03:30'],https://music.163.com/song?id=481846435
一如年少模样,['04:22'],https://music.163.com/song?id=463157222
一个人的朝圣,['03:45'],https://music.163.com/song?id=32272627
明天，你好-(电视剧《加油吧实习生》插曲),['04:31'],https://music.163.com/song?id=368727
最终信仰,['05:05'],https://music.163.com/song?id=25702228
海阔天空,['05:23'],https://music.163.com/song?id=400162138
勋章,['03:26'],https://music.163.com/song?id=454687041
一路逆风,['03:45'],https://music.163.com/song?id=36103237
我飞故我在(电影主题曲)-(电影《歌舞青春》中国版主题曲),['04:21'],https://music.163.com/song?id=394000
SundayMorning,['02:55'],https://music.163.com/song?id=19537516
Wouldn'tItBeNice(2000-Remaster),['02:33'],https://music.163.com/song?id=21914574
ALoveSupremePartI:Acknowledgement,['07:48'],https://music.163.com/song?id=18727806
HelterSkelter(Remastered),['04:29'],https://music.163.com/song?id=4336795
ILoveYourLovin'Ways,['02:39'],https://music.163.com/song?id=3167660
JustLikeaWoman,['04:50'],https://music.163.com/song?id=22088566
I'llGoCrazy,['02:05'],https://music.163.com/song?id=1485979
TomorrowNeverKnows(Remastered),['02:59'],https://music.163.com/song?id=4337209
Shhh/Peaceful(LPMix)-OriginalLPMixFrom1969,['18:17'],https://music.163.com/song?id=21341852
SoulSeranade,['02:36'],https://music.163.com/song?id=36391192
Suzanne,['03:50'],https://music.163.com/song?id=20954417
CandySays,['04:04'],https://music.163.com/song?id=19537505
CrosstownTraffic,['02:26'],https://music.163.com/song?id=20363349
LikeaRollingStone,['06:08'],https://music.163.com/song?id=22088550
OuttoLunch,['12:09'],https://music.163.com/song?id=1307546
ComeTogether(Remastered),['04:19'],https://music.163.com/song?id=4336298
"TrackA-SoloDancer(Stop!Look!AndListen,SinnerJimWhitney!)",['06:39'],https://music.163.com/song?id=16988301
GimmeShelter,['04:30'],https://music.163.com/song?id=4338428
SoMuchLove,['03:31'],https://music.163.com/song?id=17344646
1969,['04:06'],https://music.163.com/song?id=19386266
BeMyHusband,['03:25'],https://music.163.com/song?id=3167704
